北京市,北京市,北京总部营业部（证金）,北京市朝阳区亮马桥路48号院4号楼3层301号,01060834013
北京市,北京市,北京分公司业务中心,北京市东城区建国门北大街5号金成建国五号四层,010-65128320
北京市,北京市,北京建外大街证券营业部,北京市朝阳区建国门外大街19号1号楼20层BCD室,95548；010-59400686；010-59400766
北京市,北京市,北京中关村东路证券营业部,北京市海淀区中关村东路8号东升大厦B座503B/807B,01059933888
北京市,北京市,北京总部证券营业部,北京市朝阳区亮马桥路48号院4号楼3层301号,01060834013
北京市,北京市,北京北苑证券营业部,北京市朝阳区天朗园C座一层商业内1-015,95548/84844061
北京市,北京市,北京远大路证券营业部,北京市海淀区远大路1号1层J-1042号,01088876123
北京市,北京市,北京东直门证券营业部,北京市东城区东直门外大街48号东方银座写字楼C层C01,95548；010-64656808
北京市,北京市,北京万柳证券营业部,北京市海淀区万柳中路11号1层105室,010-82560732
北京市,北京市,北京三元桥证券营业部,北京市朝阳区曙光西里甲5号院16号楼一层101A单元、102单元,95548
北京市,北京市,北京金融大街证券营业部,北京市西城区金融大街35号1层107单元,010-88092357
北京市,北京市,北京京城大厦证券营业部,北京市朝阳区新源南路6号京城大厦2404,89946914
北京市,北京市,北京望京证券营业部,北京市朝阳区望京东园七区保利国际广场T2楼102,010-84785403
北京市,北京市,北京首体南路证券营业部,北京市海淀区首体南路9号4楼1至2层101,010-65648999
北京市,北京市,北京天通苑证券营业部,北京昌平区天通北苑一区甲4号楼102,95548/01084842496
北京市,北京市,北京东三环中路证券营业部,北京市朝阳区广渠路39号院2号楼7层01单元,95548
北京市,北京市,北京复外大街证券营业部,北京市西城区白云路1号白云大厦三层,010-63444090
北京市,北京市,北京国贸证券营业部,北京市朝阳区建国路甲92号世茂大厦B座5层,010-85891895
北京市,北京市,北京呼家楼证券营业部,北京市朝阳区光华路9号楼1层125室、2层226室,010-57602593
北京市,北京市,北京北三环中路证券营业部,北京市海淀区北三环中路43-3号,010-62048362
北京市,北京市,北京安外大街证券营业部,北京市朝阳区安外大街1号,95548转安外
北京市,北京市,北京中关村大街证券营业部,北京市海淀区丹棱街1号院1号楼102单元,95548
北京市,北京市,北京紫竹院路证券营业部,北京市海淀区紫竹院路69号中国兵器大厦9层,010-68964199
上海市,上海市,上海分公司业务中心,上海市浦东新区世纪大道1568号10楼,021-61768635
上海市,上海市,上海牡丹江路证券营业部,上海市宝山区牡丹江路1508号4402甲、4402乙室,021-66861257
上海市,上海市,上海张江园区证券营业部,上海市浦东新区科苑号88号德国中心2号楼123、124室、3号楼735、736室,021-50805711
上海市,上海市,上海嘉定证券营业部,上海市嘉定区沪宜公路3099号908室、801室,021-59130162
上海市,上海市,上海共和新路证券营业部,上海市静安区共和新路2395弄5-3号1-2层,021-66276209
上海市,上海市,上海莘松路证券营业部,上海市莘松路58号1号楼302室,95548或021-62960278
上海市,上海市,上海瑞金南路证券营业部,上海市黄浦区瑞金南路1号5H室,021-61922961
上海市,上海市,上海五角场证券营业部,上海市杨浦区淞沪路333号307-308A,021-65661315
上海市,上海市,上海中信广场证券营业部,上海市虹口区四川北路859号2902、2903室,021-36711618
上海市,上海市,上海环球金融中心证券营业部,上海市浦东新区世纪大道100号63楼T53室,021-68778112
上海市,上海市,上海世纪大道财富中心,上海市浦东新区世纪大道1568号10楼,021-61768635
上海市,上海市,上海南京西路证券营业部,上海市静安区南京西路1168号2401-2402室,021-52928565、52928532
上海市,上海市,上海淮海中路证券营业部,上海市黄浦区淮海中路98号32楼,021-53858271
上海市,上海市,上海沪闵路证券营业部,上海市沪闵路7580弄111支弄2号,021-54808191
上海市,上海市,上海石化证券营业部,上海市金山区石化隆安路290号1-3层,021-57930879
上海市,上海市,上海长寿路证券营业部,上海市普陀区长寿路818弄8号1-2层、10号2层、12号1-2层,021-62325171、95548
上海市,上海市,上海溧阳路证券营业部,上海市虹口区溧阳路1088号2层,021-61673535，021-61673576
上海市,上海市,上海红宝石路证券营业部,上海市长宁区红宝石路500号B幢2103、04室,95548
上海市,上海市,上海安亭证券营业部,上海市嘉定区安亭镇墨玉路29号2楼,95548、021-59568116
上海市,上海市,上海娄山关路证券营业部,上海市长宁区娄山关路555号长房国际广场20楼2006-2007室,021-62292087
上海市,上海市,上海漕溪北路证券营业部,上海漕溪北路375号中金国际广场C座17层,95548
上海市,上海市,上海世纪大道证券营业部,上海市浦东新区世纪大道1568号10层06B-06单元,021-61768788
上海市,上海市,上海联洋证券营业部,上海市浦东新区樱花路868号1幢1801、1804室,95548
上海市,上海市,上海恒丰路证券营业部,上海市静安区恒丰路1号101室、2 层、8层,95548
上海市,上海市,上海东方路证券营业部,上海市浦东新区东方路710号5楼C座、1110室、1408-1410室、1505室,021-68756999
江苏省,镇江市,镇江正东路证券营业部,江苏省镇江市京口区正东路39号3号楼4楼,95548
江苏省,徐州市,徐州解放南路证券营业部,徐州市云龙区解放南路303号地王大厦三层,051683735777
江苏省,无锡市,无锡清扬路证券营业部,无锡梁溪区清扬路128号茂业天地1F,0510-81800509
江苏省,南京市,江苏分公司财富管理中心,南京市建邺区庐山路168号新地中心二期10楼1002,025-83261258
江苏省,南京市,南京云锦路证券营业部,南京市建邺区所街171号15幢地上一层106室、地上一层113室、地上一层204室,025-83261270
江苏省,南京市,南京双龙大道证券营业部,江苏省南京市江宁区双龙大道1351号,025-83261156
江苏省,南京市,南京浦口大道证券营业部,江苏省南京市浦口区浦口大道13号新城总部大厦B座214室,025-83261122
江苏省,南京市,南京洪武北路证券营业部,江苏省南京市玄武区洪武北路16号,025-83363531
